"type","country","total_amount","year"
"总值","缅甸",7899043600,"2024"
"总值","中国香港",236737401600,"2024"
"总值","印度",99326689000,"2024"
"总值","印度尼西亚",60181682400,"2024"
"总值","伊朗",7253500800,"2024"
"总值","日本",124707249800,"2024"
"总值","中国澳门",3215685200,"2024"
"总值","马来西亚",80424038800,"2024"
"总值","阿曼",4675231400,"2024"
"总值","巴基斯坦",16010358000,"2024"
"总值","菲律宾",42708027600,"2024"
"总值","沙特阿拉伯",40008187800,"2024"
"总值","新加坡",63301494200,"2024"
"总值","韩国",119793805600,"2024"
"总值","泰国",68848609200,"2024"
"总值","土耳其",31573917200,"2024"
"总值","阿拉伯联合酋长国",52140846800,"2024"
"总值","越南",130909990400,"2024"
"总值","中国台湾",61492747400,"2024"
"总值","哈萨克斯坦",23082024000,"2024"
"总值","南非",17857614600,"2024"
"总值","欧洲联盟",426089609400,"2024"
"总值","比利时",27591719400,"2024"
"总值","丹麦",7450720200,"2024"
"总值","英国",64726320400,"2024"
"总值","德国",88158719600,"2024"
"总值","法国",36754359600,"2024"
"总值","意大利",37923697000,"2024"
"总值","荷兰",75621662200,"2024"
"总值","西班牙",33899405400,"2024"
"总值","奥地利",3350114600,"2024"
"总值","芬兰",3116682800,"2024"
"总值","瑞典",8248431800,"2024"
"总值","罗马尼亚",7686882000,"2024"
"总值","瑞士",6117812400,"2024"
"总值","俄罗斯",93601102000,"2024"
"总值","乌克兰",3005259600,"2024"
"总值","阿根廷",7281579200,"2024"
"总值","巴西",60491725000,"2024"
"总值","智 利",16761894800,"2024"
"总值","加拿大",38387442800,"2024"
"总值","美国",425786418400,"2024"
"总值","澳大利亚",58342940600,"2024"
"总值","新西兰",6396849200,"2024"
"第1类 活动物；动物产品","缅甸",43335600,"2024"
"第1类 活动物；动物产品","中国香港",1703521400,"2024"
"第1类 活动物；动物产品","印度",8338400,"2024"
"第1类 活动物；动物产品","印度尼西亚",114326800,"2024"
"第1类 活动物；动物产品","伊朗",4291000,"2024"
"第1类 活动物；动物产品","日本",1610614600,"2024"
"第1类 活动物；动物产品","中国澳门",141177400,"2024"
"第1类 活动物；动物产品","马来西亚",214300800,"2024"
"第1类 活动物；动物产品","阿曼",2200457.14,"2024"
"第1类 活动物；动物产品","巴基斯坦",1947400,"2024"
"第1类 活动物；动物产品","菲律宾",357079800,"2024"
"第1类 活动物；动物产品","沙特阿拉伯",10257800,"2024"
"第1类 活动物；动物产品","新加坡",68667200,"2024"
"第1类 活动物；动物产品","韩国",970043200,"2024"
"第1类 活动物；动物产品","泰国",304560200,"2024"
"第1类 活动物；动物产品","土耳其",4216800,"2024"
"第1类 活动物；动物产品","阿拉伯联合酋长国",26102825.7,"2024"
"第1类 活动物；动物产品","越南",516542600,"2024"
"第1类 活动物；动物产品","中国台湾",309554000,"2024"
"第1类 活动物；动物产品","哈萨克斯坦",5080600,"2024"
"第1类 活动物；动物产品","南非",114431800,"2024"
"第1类 活动物；动物产品","欧洲联盟",1808983400,"2024"
"第1类 活动物；动物产品","比利时",97671842.24,"2024"
"第1类 活动物；动物产品","丹麦",17732400,"2024"
"第1类 活动物；动物产品","英国",351902600,"2024"
"第1类 活动物；动物产品","德国",477159200,"2024"
"第1类 活动物；动物产品","法国",166068000,"2024"
"第1类 活动物；动物产品","意大利",134185800,"2024"
"第1类 活动物；动物产品","荷兰",202620600,"2024"
"第1类 活动物；动物产品","西班牙",348416600,"2024"
"第1类 活动物；动物产品","奥地利",13465200,"2024"
"第1类 活动物；动物产品","芬兰",732200,"2024"
"第1类 活动物；动物产品","瑞典",67896596.04,"2024"
"第1类 活动物；动物产品","罗马尼亚",19302748.08,"2024"
"第1类 活动物；动物产品","瑞士",4387600,"2024"
"第1类 活动物；动物产品","俄罗斯",287681800,"2024"
"第1类 活动物；动物产品","乌克兰",17241000,"2024"
"第1类 活动物；动物产品","阿根廷",462000,"2024"
"第1类 活动物；动物产品","巴西",106470000,"2024"
"第1类 活动物；动物产品","智 利",18831400,"2024"
"第1类 活动物；动物产品","加拿大",197601600,"2024"
"第1类 活动物；动物产品","美国",1103939200,"2024"
"第1类 活动物；动物产品","澳大利亚",96343800,"2024"
"第1类 活动物；动物产品","新西兰",17799600,"2024"
"01章 活动物","缅甸",0,"2024"
"01章 活动物","中国香港",294817600,"2024"
"01章 活动物","印度",84000,"2024"
"01章 活动物","印度尼西亚",168000,"2024"
"01章 活动物","伊朗",0,"2024"
"01章 活动物","日本",3731000,"2024"
"01章 活动物","中国澳门",36180200,"2024"
"01章 活动物","马来西亚",177800,"2024"
"01章 活动物","阿曼",0,"2024"
"01章 活动物","巴基斯坦",0,"2024"
"01章 活动物","菲律宾",133000,"2024"
"01章 活动物","沙特阿拉伯",0,"2024"
"01章 活动物","新加坡",672000,"2024"
"01章 活动物","韩国",3910200,"2024"
"01章 活动物","泰国",341600,"2024"
"01章 活动物","土耳其",0,"2024"
"01章 活动物","阿拉伯联合酋长国",50400,"2024"
"01章 活动物","越南",3802400,"2024"
"01章 活动物","中国台湾",65800,"2024"
"01章 活动物","哈萨克斯坦",2800,"2024"
"01章 活动物","南非",0,"2024"
"01章 活动物","欧洲联盟",4354000,"2024"
"01章 活动物","比利时",168000,"2024"
"01章 活动物","丹麦",628600,"2024"
"01章 活动物","英国",187600,"2024"
"01章 活动物","德国",840000,"2024"
"01章 活动物","法国",1832600,"2024"
"01章 活动物","意大利",463400,"2024"
"01章 活动物","荷兰",22400,"2024"
"01章 活动物","西班牙",49000,"2024"
"01章 活动物","奥地利",22400,"2024"
"01章 活动物","芬兰",138600,"2024"
"01章 活动物","瑞典",67200,"2024"
